sample,field,id,z,z_type,logM,logM_elo,logM_ehi,av,av_code,av_fast,logssfr,logage_lw,logage_fit,uv,vj,quiescent_uvj,re_arcsec,re_kpc,band,lam_rest_A,re_5000_kpc,q,n,n_err,flag,primary,re_limit
LEGA-C,COSMOS,27741,0.7063,spec,10.993,0.1100000000000012,0.0899999999999998,1.209,MAGPHYS (de Graaff+21),0.4,-10.37,0.3970000000000002,0.3970000000000002,1.7828441692774966,1.2150718982487154,True,0.3391,2.431822049787677,F814W,4770.556174178046,2.4034303686446465,0.7898,3.2937,0.5665,0.0,1.0,0.0
LEGA-C,COSMOS,27797,0.9683,spec,11.118,0.0400000000000009,0.0700000000000002,0.685,MAGPHYS (de Graaff+21),0.2,-10.47,0.2319999999999993,0.2319999999999993,1.7714747245242517,1.3365957220605291,True,0.6388,5.07590583363219,F814W,4135.548442818676,4.840657258753541,0.6105,2.2778,0.3918,0.0,1.0,0.0
LEGA-C,COSMOS,28041,0.8088,spec,11.262,0.200000000000001,0.0,0.231,MAGPHYS (de Graaff+21),0.3,-11.52,0.7070000000000007,0.7070000000000007,1.804231934500828,0.9885439899830196,True,0.3036,2.2879844487366974,F814W,4500.221141088015,2.228532802889737,0.6768,4.2315,0.7278,0.0,1.0,0.0
LEGA-C,COSMOS,28062,0.7738,spec,11.163,0.0300000000000011,0.0399999999999991,0.607,MAGPHYS (de Graaff+21),1.1,-10.02,0.3369999999999997,0.3369999999999997,1.4402228373912385,1.1563865220923168,False,1.351,10.0267856726002,F814W,4589.017927613034,9.814070406116771,0.7182,2.4123,0.4149,0.0,1.0,0.0
LEGA-C,COSMOS,28062,0.7741,spec,11.163,0.0300000000000011,0.0399999999999991,0.607,MAGPHYS (de Graaff+21),1.1,-10.02,0.3369999999999997,0.3369999999999997,1.4402228373912385,1.1563865220923168,False,1.351,10.028168287348525,F814W,4588.241925483344,9.815008716182671,0.7182,2.4123,0.4149,0.0,1.0,0.0
LEGA-C,COSMOS,28094,0.945,spec,11.043,0.0499999999999989,0.0700000000000002,0.322,MAGPHYS (de Graaff+21),0.8,-9.975,0.2720000000000002,0.2720000000000002,1.3895132749610053,1.0880337601395562,False,1.099,8.678038493412265,F814W,4185.08997429306,8.300519438040602,0.8574,1.5332,0.2637,0.0,1.0,0.0
LEGA-C,COSMOS,28202,0.9169,spec,10.862,0.0500000000000007,0.0500000000000007,0.56,MAGPHYS (de Graaff+21),0.5,-10.37,0.2669999999999994,0.2669999999999994,1.6514653717586143,1.2242270761692944,False,0.6767,5.299963524687218,F814W,4246.43956387918,5.08787715066318,0.5861,2.5496,0.4385,0.0,1.0,0.0
LEGA-C,COSMOS,28512,0.6227,spec,10.807,0.0300000000000011,0.0899999999999998,0.309,MAGPHYS (de Graaff+21),0.7,-9.925,0.2469999999999999,0.2469999999999999,1.3920551059063135,1.1200714234186413,False,1.12,7.615661950463303,F814W,5016.330806680225,7.62187284361676,0.7569,1.552,0.2669,0.0,1.0,0.0
LEGA-C,COSMOS,28616,0.6799,spec,10.742,0.1300000000000007,0.0699999999999985,0.309,MAGPHYS (de Graaff+21),1.3,-9.775,0.1519999999999992,0.1519999999999992,1.326100099944597,1.0545834278744557,False,1.1682,8.24968196871858,F814W,4845.526519435681,8.185212317322158,0.7397,1.7077,0.2937,0.0,1.0,0.0
LEGA-C,COSMOS,28706,0.6642,spec,10.647,0.1600000000000001,0.0700000000000002,1.05,MAGPHYS (de Graaff+21),0.8,-10.02,0.1720000000000006,0.1720000000000006,1.662781738159595,1.4481620393197427,False,0.4829,3.377113806625252,F814W,4891.239033769979,3.3585971649791704,0.5272,0.8155,0.1403,0.0,1.0,0.0
LEGA-C,COSMOS,28731,0.896,spec,10.772,0.0999999999999996,0.0999999999999996,0.769,MAGPHYS (de Graaff+21),0.5,-11.27,0.532,0.532,1.936214840414508,1.2565924503517631,True,0.3118,2.426147699341336,F814W,4293.24894514768,2.3354536535938104,0.9053,3.2894,0.5658,0.0,1.0,0.0
LEGA-C,COSMOS,28945,0.681,spec,10.859,0.0700000000000002,0.0399999999999991,0.21,MAGPHYS (de Graaff+21),1.0,-10.87,0.6069999999999993,0.6069999999999993,1.8920235290766585,1.379311024090371,True,0.4463,3.153813376702596,F814W,4842.355740630577,3.128654906094226,0.4139,3.765,0.6476,0.0,1.0,0.0
LEGA-C,COSMOS,28948,0.7326,spec,10.666,0.0700000000000002,0.1099999999999994,0.34,MAGPHYS (de Graaff+21),0.7,-10.02,0.3170000000000001,0.3170000000000001,1.3905652070784935,1.1568258314425424,False,1.0965,7.975762216909249,F814W,4698.141521412905,7.852559221719189,0.709,3.6488,0.6276,0.0,1.0,0.0
LEGA-C,COSMOS,29008,0.6641,spec,11.273,0.1199999999999992,0.0099999999999997,1.003,MAGPHYS (de Graaff+21),1.0,-10.97,0.6470000000000002,0.6470000000000002,2.115026088990385,1.583584752120971,True,0.9362,6.546806917383451,F814W,4891.53296075957,6.511008729354898,0.263,4.3408,0.7466,0.0,1.0,0.0
LEGA-C,COSMOS,29329,0.9185,spec,11.593,0.1300000000000007,0.0399999999999991,2.185,MAGPHYS (de Graaff+21),1.0,-10.02,0.2769999999999992,0.2769999999999992,1.764426561612296,1.5638324494007436,False,1.3698,10.73356140427739,F814W,4242.898097471983,10.301892041557087,0.6739,3.3138,0.57,0.0,1.0,0.0
LEGA-C,COSMOS,29475,0.8293,spec,10.965,0.0500000000000007,0.0999999999999996,0.27,MAGPHYS (de Graaff+21),0.3,-10.92,0.4369999999999994,0.4369999999999994,1.8514288798544285,1.1641279495824362,True,0.3328,2.528854455724625,F814W,4449.78953698136,2.4562139944856263,0.3635,5.7374,0.9868,0.0,1.0,0.0
LEGA-C,COSMOS,30294,0.9926,spec,10.669,0.0700000000000002,0.0099999999999997,0.664,MAGPHYS (de Graaff+21),1.4,-9.225,-0.1430000000000006,-0.1430000000000006,0.990688361583028,1.0868108213418513,False,0.6105,4.880678665441288,F814W,4085.1149252233263,4.640222270522487,0.5047,0.2263,0.0389,0.0,1.0,0.0
LEGA-C,COSMOS,30354,0.9759,spec,11.077,0.0,0.0,0.279,MAGPHYS (de Graaff+21),0.1,-11.52,0.4120000000000008,0.4120000000000008,1.9914244897557916,1.1182361775374514,True,0.4346,3.460085380418377,F814W,4119.64168227137,3.2965462661125304,0.4437,3.2487,0.5588,0.0,1.0,0.0
LEGA-C,COSMOS,30406,0.6637,spec,10.644,0.1400000000000005,0.0500000000000007,0.43,MAGPHYS (de Graaff+21),1.0,-10.77,0.577,0.577,1.8122224913537843,1.3486283372124968,True,0.431,3.013198223396533,F814W,4892.709022059265,2.996902049157234,0.4006,1.2363,0.2126,0.0,1.0,0.0
LEGA-C,COSMOS,30660,0.7529,spec,10.919,0.1100000000000012,0.0199999999999995,0.344,MAGPHYS (de Graaff+21),0.7,-10.87,0.5969999999999995,0.5969999999999995,1.7836256982862666,1.3182861794596823,True,0.549,4.034365839738819,F814W,4643.7332420560215,3.960496125281805,0.6967,3.4572,0.5946,0.0,1.0,0.0
